system,parameter,value,seed,clip_idx,ga_best_fitness,critic_score,novelty_dist_aist,novelty_score,target_dist,smoothness_cm_std,upright_pct,bone_std_cm,runtime_s,collapse
System2,target_realism,0.93,0,2,,0.8838222622871399,1204.59423828125,0.8830891613529922,0.046177737712860156,10.810415267944336,36.666666666666664,9.331417083740234,2.646748707978986,0
System2,target_realism,0.93,1,2,,0.22236929833889008,1918.9815673828125,0.22225347988411084,0.70763070166111,39.38774871826172,100.0,24.155330657958984,9.16523262503324,1
System2,target_realism,0.93,2,2,,0.9293776154518127,651.5348510742188,0.9279533580134217,0.0006223845481873047,2.48732328414917,100.0,5.439051151275635,6.678866125002969,0
System2,retry_attempts,1,0,0,,0.8876499533653259,1173.5374755859375,0.8868942091069978,0.04235004663467412,9.925202369689941,35.0,9.369539260864258,2.634511541982647,0
System2,retry_attempts,1,1,0,,0.9232971668243408,767.2359619140625,0.9220953262277044,0.0067028331756592285,2.703516960144043,100.0,3.024038314819336,7.628847834013868,0
System2,retry_attempts,1,2,0,,0.8059479594230652,829.0023803710938,0.8049769405700076,0.12405204057693486,2.0738611221313477,100.0,5.7941694259643555,9.232078208005987,1
System2,retry_attempts,1,0,1,,0.8871567249298096,1421.8148193359375,0.8865332026605209,0.04284327507019048,9.11508846282959,36.666666666666664,9.809799194335938,2.728089042007923,0
System2,retry_attempts,1,1,1,,0.9284161925315857,743.6068725585938,0.9271693383502089,0.0015838074684143555,3.1197280883789062,100.0,3.4217379093170166,6.23729054100113,0
System2,retry_attempts,1,2,1,,0.9216799139976501,950.3239135742188,0.9207110747822721,0.008320086002349902,2.0051589012145996,100.0,4.207021713256836,8.14955995802302,0
System2,retry_attempts,1,0,2,,0.8838222622871399,1204.59423828125,0.8830891613529922,0.046177737712860156,10.810415267944336,36.666666666666664,9.331417083740234,2.7438704170053825,0
System2,retry_attempts,1,1,2,,0.22236929833889008,1918.9815673828125,0.22225347988411084,0.70763070166111,39.38774871826172,100.0,24.155330657958984,9.167918583960272,1
System2,retry_attempts,1,2,2,,0.9293776154518127,651.5348510742188,0.9279533580134217,0.0006223845481873047,2.48732328414917,100.0,5.439051151275635,6.728060125024058,0
System2,retry_attempts,2,0,0,,0.9051672220230103,1192.2598876953125,0.9044086553173354,0.024832777976989795,2.684115409851074,100.0,3.931063413619995,8.494335707975551,0
System2,retry_attempts,2,1,0,,0.9232971668243408,767.2359619140625,0.9220953262277044,0.0067028331756592285,2.703516960144043,100.0,3.024038314819336,6.706355541013181,0
System2,retry_attempts,2,2,0,,0.9011555910110474,646.5718383789062,0.8997639993178895,0.028844408988952686,1.431979775428772,100.0,4.500535488128662,15.302883166994434,0
System2,retry_attempts,2,0,1,,0.8871567249298096,1421.8148193359375,0.8865332026605209,0.04284327507019048,9.11508846282959,36.666666666666664,9.809799194335938,7.984110374993179,0
System2,retry_attempts,2,1,1,,0.9284161925315857,743.6068725585938,0.9271693383502089,0.0015838074684143555,3.1197280883789062,100.0,3.4217379093170166,5.929651791986544,0
System2,retry_attempts,2,2,1,,0.9216799139976501,950.3239135742188,0.9207110747822721,0.008320086002349902,2.0051589012145996,100.0,4.207021713256836,7.846121083013713,0
System2,retry_attempts,2,0,2,,0.918813943862915,1291.257568359375,0.918102929304858,0.01118605613708501,2.7599759101867676,100.0,4.171236038208008,9.125215750013012,0
System2,retry_attempts,2,1,2,,0.22236929833889008,1918.9815673828125,0.22225347988411084,0.70763070166111,39.38774871826172,100.0,24.155330657958984,18.267170957988128,1
System2,retry_attempts,2,2,2,,0.9293776154518127,651.5348510742188,0.9279533580134217,0.0006223845481873047,2.48732328414917,100.0,5.439051151275635,6.809097833989654,0
System2,retry_attempts,3,0,0,,0.9051672220230103,1192.2598876953125,0.9044086553173354,0.024832777976989795,2.684115409851074,100.0,3.931063413619995,8.784092749992851,0
System2,retry_attempts,3,1,0,,0.9232971668243408,767.2359619140625,0.9220953262277044,0.0067028331756592285,2.703516960144043,100.0,3.024038314819336,6.885688457987271,0
System2,retry_attempts,3,2,0,,0.9011555910110474,646.5718383789062,0.8997639993178895,0.028844408988952686,1.431979775428772,100.0,4.500535488128662,15.950093458988704,0
System2,retry_attempts,3,0,1,,0.9207749962806702,779.5018920898438,0.9195952746097653,0.009225003719329883,3.0840201377868652,100.0,4.240360736846924,14.88465195801109,0
System2,retry_attempts,3,1,1,,0.9284161925315857,743.6068725585938,0.9271693383502089,0.0015838074684143555,3.1197280883789062,100.0,3.4217379093170166,6.2208606250351295,0
System2,retry_attempts,3,2,1,,0.9216799139976501,950.3239135742188,0.9207110747822721,0.008320086002349902,2.0051589012145996,100.0,4.207021713256836,7.834417125035543,0
System2,retry_attempts,3,0,2,,0.918813943862915,1291.257568359375,0.918102929304858,0.01118605613708501,2.7599759101867676,100.0,4.171236038208008,9.1314059169963,0
System2,retry_attempts,3,1,2,,0.883481502532959,939.799072265625,0.8825424268805933,0.046518497467041064,1.345940351486206,100.0,2.8163750171661377,20.45809620799264,0
System2,retry_attempts,3,2,2,,0.9293776154518127,651.5348510742188,0.9279533580134217,0.0006223845481873047,2.48732328414917,100.0,5.439051151275635,6.719398291024845,0
